_id;latitude;longitude;altitude;geometry;address;description;facilities;imageThumbnail;kategori;nama;Rating
11;-7,9730441;112,4364437;;Point;Ngadirenggo, Wlingi, Blitar, Jawa Timur 66184;Wisata Blitar air terjun yang satu ini terletak di Desa Ngadirenggo, Kecamatan Wlingi, Kabupaten Blitar. Sama seperti wisata air terjun sebelumnya, akses menuju lokasi ini juga cukup menantang karena harus berjalan kaki melewati hutan belantara. Lokasinya yang tersembunyi menyebabkan wisata ini masih cukup asri.;Air Terjun;IMG_1505788860419.jpg;Air Terjun;Tempat Wisata Air Terjun Sirah Kencong Blitar;4.4
12;-8,2578581;112,285778;;Point;Panggungrejo, Blitar, Jawa Timur 66174;Objek wisata di Blitar ini merupakan sebuah air terjun yang cukup unik, karena bukan berada di sekitar perbukitan kapur, melainkan sebuah tebing breksi yang jarang dijumpai di wilayah ini. Wisata ini menjadi salah satu tempat wisata di Blitar terbaru dan cukup hits. Lokasi wisata ini terletak di Desa Balerejo, Kecamatan Panggungrejo, Kabupaten Blitar. Di tempat ini, kalian dapat menikmati segarnya air yang cukup jernih.;Air Terjun;IMG_1505789212422.jpg;Air Terjun;Wisata Alam Air Terjun Grenjeng Blitar;3.8
13;-8,2724912;112,320518;;Point;Purworejo, Wates, Blitar, Jawa Timur 66194;Wisata air terjun kali ini terletak di Desa Purworejo, Kecamatan Wates, Kabupaten Blitar. Air terjun di sini cukup unik karena memiliki kontur tebing air terjun yang bergelombang, sehingga air yang jatuh dari ketinggian memecah menjadi berbagai bagian. Wisata ini sangat cocok bagi kalian yang ingin menghabiskan waktu untuk berendam di aliran air yang dingin dan segar.;Air Terjun;IMG_1505791071145.jpg;Air Terjun;Wisata Alam Air Terjun Jurug Bening Blitar;4.2
14;-8,2724912;112,320518;;Point;Desa Tumpakoyot dan Desa Bululawang, Kecamatan Bakung, Kabupaten Blitar.;Masih berhubungan dengan air, kali ini kita akan menuju ke Desa Balulawang, Kecamatan Bakung, Kabupaten Blitar. Wisata baru di Blitar ini tergolong masih asri dan belum banyak dikunjungi oleh wisatawan. Di sini kalian dapat mandi di sebuah kolam yang jernih dan bersih. Sementara itu, di Curug Badun kalian akan melihat curug bertingkat dengan ketinggian sekitar 8 meter.;Air Terjun;IMG_1505791374065.jpg;Air Terjun;Curug dan Kedung Badrun Blitar;4.0
15;-8,2619087;112,0710779;;Point;Bakung, Blitar, Jawa Timur 66163;Air Terjun Tirto Galuh Blitar adalahair terjun yang juga mulai terkenal akhir-akhir ini. Di tempat ini, kita bisa melihat air mengalir di atas bebatuan yang berlumut namun elok dipandang mata. Akses jalan untuk sampai keAir Terjun Tirto Galuh Blitar cukup jauh. Setelah naik motor dan memarkir motor seharga Rp2.000, Anda harus berjalan sekitar 400 meter untuk sampai di lokasi. Kalau sedang tidak beruntung, perjalanan sepanjang itu harus ditambah dengan jalanan yang becek pasca hujan.;Air Terjun;IMG_1505791606287.jpg;Air Terjun;Air Terjun Tirto Galuh Blitar;4.1
16;-7,8821341;111,7970319;;Point;Geger, Sendang, Kabupaten Tulungagung, Jawa Timur 66254;Lokasi Air Terjun Lawean ini terletak di Dusun Parang, atau berada di kawasan perkebunan Kawisari, Blitar. Akses menuju lokasi ini cukup mudah dan sudah terawat. Air terjun ini terbagi menjadi dua bagian, dan memiliki ketinggian aliran air sekitar dua puluh lima meter.;Air Terjun;IMG_1516157499656.jpg;Air Terjun;Air Terjun Lawean Kawisar;4.7
17;-7,997326;112,345049;;Point;Jl. Nanas Semen, Semen, Gandusari, Blitar, Jawa Timur 66187;Desa Wisata ini terletak di Desa Semen, atau sekitar 35 km dari pusat Kota Blitar. Desa Wisata ini terletak di kaki Gunung Kelud, sehingga menjadikan wilayah ini memiliki iklim yang sejuk. Selain itu, Desa Wisata ini menawarkan suasana pedesaan yang masih asri, jauh dari hiruk pikuk perkotaan. Wisata ini sangat cocok bagi kalian yang ingin keluar rutinitas perkotaan.;taman;IMG_1505792679034.jpg;taman;Kampung Wisata Ekologis Puspa Jagad;4.3
18;-8,1742545;112,0854874;;Point;Desa Tumpakkepuh, Kecamatan Bakung, Kabupaten Blitar, arah selatan Kota Blitar dengan jarak sekitar 40 km;Wisata alam gua ini terletak di Desa Tampakkepuh, Kecamatan Bakung, Kabupaten Blitar. Di tempat wisata ini, kalian dapat menikmati keunikan stalagmit stalaktit yang menjadi ornamen terpenting yang harus kalian lihat. Gua ini cukup terkenal dan menjadi salah satu destinasi unggulan Kabupaten Blitar, Jawa Timur. Berdasarkan kesaksian warga setempat, Gua ini pernah menjadi salah satu tempat persembunyian simpatisan Partai Komunis Indonesia (PKI).;goa;IMG_1505792989031.jpg;goa;Tempat Wisata Alam Gua Embultuk Blitar;4.0
19;-7,919996;112,4499662;;Point;Ngadirenggo/Htn, Kecamatan Wlingi, Kabupaten Blitar, Jawa Timur,;Wisata alam Blitar ini cocok bagi kalian yang memiliki hobi mendaki gunung. Apabila kalian merasa cukup lelah untuk mendaki Gunung Kelud atau Semeru, pendakian ke Gunung Butak dapat kalian jadikan alternatif pendakian kalian. Wisata mini ini menawarkan pemandangan alam dari atas bukit dan lokasi camping ceria yang mengasyikkan. Kalian dapat mendaki Gunung Butak melalui basecamp Sirah Kencong yang terletak di Desa Ngadirenggo.;gunung;IMG_1516157126668.JPG;gunung;Wisata Alam Gunung Butak;5.0
20;-8,0084435;112,1859536;;Point;Jl. Mastrip, Ngoran, Nglegok, Kedawung, Nglegok, Blitar, Jawa Timur 66181;Chenoa Water Play Kedawung adalah wahana bermain anak yang bertempat di Blitar. Sebagai sebuah wahana kolam renang, tempat wisata ini mempunyai perlengkapan yang cukup lengkap. Mulai dari penjagawater boom, komidi putar, panggung pementasan, pemancingan, dst. tersedia lengkap diChenoa Water Play Kedawung. Tempat ini cocok untuk Anda yang ingin berlibur di akhir pekan bersama keluarga,;kolam renang;IMG_1505793903900.jpg;kolam renang;Chenoa Water Play Kedawung;3.8
21;-7,9619272;112,3684249;;Point;Jl. Mastrip, Ngoran, Nglegok, Kedawung, Nglegok, Blitar, Jawa Timur 66181;Telaga Rambut Monte merupakan salah satu andalan tempat wisata di Blitar. Wisata ini menawarkan pemandangan telaga yang sangat jernih. Selain itu, daya tarik lainnya dari telaga ini adalah bangunan candi dan tempat petilasan yang masih sering digunakan untuk ritual. Pemandangan di sekitar lokasi juga tak kalah indah, kalian akan melihat hamparan perkebunan teh serta ladang persawahan yang subur. Lokasi wisata ini terdapat di Desa Krisik, atau 30 Km dari pusat Kota Blitar.;telaga;IMG_1505795819091.jpg;telaga;Telaga Rambut Monte;4.5
22;-8,0919959;112,1653971;;Point;Jl. Kalibrantas, Kepanjen Kidul, Kepanjenkidul, Kota Blitar, Jawa Timur 66116;Wahana keluarga yang satu ini terletak sekitar 500 meter dari makan Bung Karno, tepatnya di Jalan Kali Brantas, Kelurahan Bendo. Di tempat ini, kalian dapat menikmati fasilitas wahana air, seperti kolam renang, papan seluncur, dan masih banyak lagi. Tiket masuk wisata ini cukup murah, yaitu 10.000 pada weekday, dan 15.000 pada weekend. Murah bukan?;kolam renang;IMG_1505796853878.jpg;kolam renang;Wahana Wisata Water Park Sumberudel Blitar;4.2
23;-8,0513889;112,08;;Point;Gn. Pegat, Dadaplangu, Ponggok, Blitar, Jawa Timur;Sebagai gunung,Gunung Pegat Ponggok Srengat Blitar tak setinggi semeru atau gunung-gunung yang pretensius untuk dinaiki para pendaki. Sebenarnya Gunung Ponggok sudah mulai ramai sejak tahun 2000, namun akhir-akhir ini tempat wisata ini naik kembali karena suguhan pemandangan malam yang indah dari atas gunung.;gunung;IMG_1505797703278.jpg;gunung;Gunung Pegat Ponggok Srengat Blitar;4.2
24;-7,9681425;112,238094;;Point;Sumberasri, Nglegok, Blitar, Jawa Timur 66181;Kompleks percandian ini terletak di lereng Gunung Kelud, tepatnya di tepi Sungai Bladak. Candi ini merupakan salah satu candi Hindu peninggalan Kerajaan Majapahit. Saat ini, bangunan candi hanya tersisa bagian bawahnya saja. Selain itu, candi ini juga masih menyisakan dua buah arca, serta monumen bangunan punden berundak.;candi;IMG_1505797910057.jpg;candi;Wisata Sejarah Candi Gambar Wetan Blitar;4.4
25;-8,156627;112,1718042;;Point;Jl. Banteng - Blorok No. 18, Desa Plosorejo, RT. 01 / 06, Kademangan, Plosorejo, Kademangan, Blitar, Jawa Timur 66161;Wisata Edukasi ini terletak ini di Kabupaten Blitar, yaitu di Jl. Banteng Blorok 18 Desa Plosorejo Kademangan Blitar. Di tempat ini, pengunjung dapat menikmati berbagai olahan coklat, mulai dari ice cream, mie coklat, hingga kue coklat. Tiket masuk wisata kuliner Blitar ini cukup murah, hanya Rp. 5.000,00. Destinasi Wisata Blitar Kampung Coklat ini menawarkan sensasi makan coklat yang tidak ada duanya.;kedai;IMG_1505798302638.jpg;kedai;Wisata Edukasi Kampung Coklat Blitar;4.4
26;-8,0991564;112,1651316;;Point;Jl. Merdeka, Kepanjen Lor, Kepanjenkidul, Kota Blitar, Jawa Timur 66117;Taman Pecut Kota Blitar terletak di pusat kota Blitar, masih satu kompleks dengan Alun-alun Blitar.Seperti namanya, tempat ini memang mempunyai patung pecut yang ikonik. Patung inidibuat untuk menjadi simbol atas pusaka Samandiman yang dimiliki oleh Adipati Blitar. Di taman ini, Anda bisa menemukan atraksi air mancur di malam hari. Ragam polah kucuran air dipadu dengan permainan lampu membuat atraksi ini ditunggu banyak wisatawan yang tengah berkunjung di Blitar.;taman;IMG_1505798744025.jpg;taman;Taman Pecut Kota Blitar;4.4
27;-8,0797236;112,18361;;Point;Bendogerit, Sananwetan, Kota Blitar, Jawa Timur 66133;DiSentul Green Park Blitar, Anda bisa menghabiskan waktu untuk bersantai di bawah pohon-pohon rindang di kota Blitar. Tempat ini memang dibuatagar masyarakat Blitar mempunyai kawasan yang asri dan penuh dengan pepohonan.Karena terbilang cukup baru, belum banyak orang yang tahu mengenai tempat ini. Hal tersebut ditambah karena akses menuju tempat ini agak tersembunyi, meski sebenarnya tempatnya tidak terlalu jauh dari makam Bung Karno.;taman;IMG_1505799017939.jpg;taman;Sentul Green Park Blitar;4.2
28;-8,0961454;112,1744657;;Point;Jl. Diponegoro No.12, Bendogerit, Sananwetan, Kota Blitar, Jawa Timur 66133;Kebonrojo Blitar adalah sebuah taman yang cocok untuk jalan-jalan bersantai bersama dengan keluarga. Berlokasi di jalan Diponegoro, tepatnya di depan SMAK Diponegoro, taman ini menyediakan wahana permainan ringan dan tanah yang lapang untuk bersantai. Selain permainan dan patung-patung, di taman ini juga terdapat tanaman dan hewan sungguhan seperti burung beo dan burung belibis.;taman;IMG_1505799381196.jpg;taman;Kebonrojo Blitar;4.5
29;-8,259527;112,074235;;Point;Jl. Trisula, Bakung, Blitar, Jawa Timur 66163;Dibangun oleh militer dengan alasan untuk mengenang pembantaian yang terjadi pada 1 Oktober 1965, monumen ini kini sering dikunjungi oleh wisatawan. Sejarah yang kelam memang menyelimuti tempat wisata ini, namun hal itu tidak mengurangi minat para wisatawan, asing maupun domestik untuk berkunjung di lokasi ini. Monumen yang diresmikan sejak Desember 1972 ini menjadi penanda bagi warga Blitar bahwa pernah ada pembantaian manusia yang dituduh makar oleh militer Indonesia.;taman;IMG_1505799650521.jpg;taman;Monumen Trisula;4.4
30;-8,0152207;112,2270433;;Point;Modangan, Nglegok, Blitar, Jawa Timur 66181;Wisata Blitar ini merupakan situs percandian yang tidak jauh dari kawasan Candi Penataran. Lokasi wisata ini terletak di Desa Modangan, Kecamatan Nglegok, Kabupaten Blitar. Pada kawasan situs arca warak ini, juga ditemukan beberapa artefak sejarah, di antaranya Jaladwara Kemuncak serta Lumpang.;candi;IMG_1505803927847.jpg;candi;Wisata Sejarah Arca Warak di Blitar;4.2
31;-8,0164231;112,2097501;;Point;Penataran, Nglegok, Blitar, Jawa Timur 66181;Objek wisata Blitar ini terletak di Desa Kotes, Kecamatan Gandusari, Kabupaten Blitar. Candi ini berdiri pada tahun 1302, dan masih memiliki keterkaitan dengan Candi Penataran. Candi ini memiliki dua kompleks bangunan, yaitu Candi I di bagian Barat, dan Candi II di bagian timur. Sama seperti candi lain di Blitar, Candi Kotes juga merupakan peninggalan kerajaan Majapahit.;candi;IMG_1505804075270.jpg;candi;Wisata Sejarah Candi Kotes Blitar;4.1
32;-8,0845969;112,1761528;;Point;Sanan Wetan Jalan Sultan Agung No.59, Sananwetan, Kota Blitar, Jawa Timur 66137;Siapa yang tidak mengenal sang proklamator negeri ini? Ya, benar sekali, beliau adalah Bung Karno. Perlu kalian tahu, Bung Karno merupakan presiden pertama Republik Indonesia, dan menjadi salah satu figur terpenting negeri ini. Beliau meninggal pada tahun 1970 dan di makamkan di Blitar. Saat ini, makam Bung Karno tidak pernah sepi dari para peziarah yang ingin menghormati jasa-jasa beliau. Apabila kalian ingin berkunjung ke tempat ini, dipersilahkan datang ke Desa Bendogerit, atau berjarak 3 km dari pusat Kota Blitar.;makam pahlawan;IMG_1505804668947.jpg;makam pahlawan;Makam dan Kediaman Bung Karno di Blitar;4.6
33;-8,0981261;112,1652352;;Point;Jl. Merdeka, Kepanjen Lor, Kepanjenkidul, Kota Blitar, Jawa Timur 66117;Salah satu tempat wisata Blitar dekat stasiun adalah Alun-alun Blitar. Alun-alun ini hanya terletak kurang lebih 500an meter dari stasiun kereta api. Di tempat ini, kalian dapat menikmati wisata kuliner serta menikmati wisata Blitar malam hari. Di Alun-alun Blitar ini, terdapat berbagai fasilitas, di antaranya jogging track, serta fitness outdoor. Wisata di Kota Blitar ini merupakan alternatif lain apabila kalian tidak memiliki kesempatan untuk menjelajahi objek wisata yang lain. Tempat wisata di Blitar dekat stasiun ini sangat cocok digunakan untuk melepas penat setelah menempuh perjalanan yang panjang.;taman;IMG_1505804845640.jpg;taman;Alun-alun Kota Blitar;4.4
34;-8,0672226;112,1213229;;Point;Jatilengger, Ponggok, Blitar, Jawa Timur 66153;Apabila kalian ingin melihat bagaimana sekawanan rusa di sekitar Kabupaten Blitar, kami sarankan Anda untuk menuju ke Maliran, Kecamatan Ponggok, Blitar. Di tempat ini, kalian dapat menikmati sensasi memberi makan rusa. dan juga out bound. dengan harga tiket masuk Rp. 10.000. dan tiket motor Rp.2000,- dan mobil Rp.5000,-;taman, out bound;IMG_1525227657579.JPG;taman;Tempat Wisata Penangkaran Rusa Maliran Blitar;4.4
35;-8,0987926;112,2353357;;Point;Sawentar, Kanigoro, Blitar, Jawa Timur 66171;Candi sawentar terletak di Desa Sawentar, Kecamatan Kanigoro, Blitar, Jawa Timur. Bagaimana latar belakang candi ini? Wikipedia menjelaskan bahwa :<em>Di dalam Kitab Negarakertagama, Candi Sawentar disebut juga Lwa Wentar. Bangunan candi ini dahulunya merupakan sebuah kompleks percandian, karena disekitarnya masih ditemukan sejumlah pondasi yang terbuat dari bata, dan candi ini diduga didirikan pada awal berdirinya Kerajaan Majapahit. Candi yang terbuat dari batu andesit ini berukuran panjang 9,53 m, lebar 6,86 m dan tingginya 10,65 m. Pintu masuk menuju bilik berada di sebelah barat, dengan ornamen makara pada pipi tangga, sedangkan relung-relungnya terdapat pada setiap dinding luar tubuh candi. Di dalam ruangan bilik ditemukan akas arca dengan pahatan burung garuda, yang dikenal sebagai kendaraan Dewa Wisnu. Berdasarkan hal ini dapat diketahui bahwa Candi Sawentar merupakan bangunan suci yang berlatar belakang agama Hindu. Ketika berkunjung kesana, terlihat areal candi berada agak/sebagian di dalam tanah. Hal ini terlihat dari letak candi yang berada di bawah tanah.</em>;candi;IMG_1506047273106.jpg;candi;candi sawentar;4.4
36;-8,0730053;112,3263266;;Point;Jl. Semeru No.4, Babadan, Wlingi, Blitar, Jawa Timur 66184;Prasasti Munggut merupakan prasasti yang terdapat di kecamatan wlingi kabupaten Blitar. bagimana sejarah prassti ini? Well, wikipedia sebagai rujukannya. Sejarah prasasti ini ada kaitannya dengan babadan. Apa itu babadan? Tentunya warga wlingi sudah paham dengan hal itu.<em>Tepatnya Babadan adalah kelurahan di kecamatan Wlingi, Blitar, Jawa Timur, Indonesia. Babadan terdiri dari 5 pedukuhan yaitu dukuh Gurit, Babadan, Darungan, Duren dan Tejo. Penduduk dari perbatasan dukuh Tejo dan Babadan kebanyakannya bekerja mencari batu di Sungai Lekso untuk menambah pendapatan. Dengan naungan dari Gunung Kelud, masyarakatnya cukup mampu untuk menghidupi dirinya sendiri dari sektor agraris.<br />Menurut legenda, nama Babadan diambil dari kata babad utan. Mbah Cokropati sebagai utusan dari Kerajaan Majapahit diberi mandat untuk membuka areal tersebut dengan membabad (menebang namun berwawasan lingkungan) utan(hutan) tersebut, karena akan digunakan untuk suatu hal. Sebagai pengingat dan warisan bagi keturunanya, Mbah Cokropati menamainya Babadan dan membuatkan prasasti bernama Prasasti Munggut (sekarang tidak terawat, terlantar di perempatan sebelah utara pasar Wlingi).</em>;candi;IMG_1506047526663.jpg;candi;Prasasti Munggut;4.2
37;-8,1643532;112,146113;;Point;Jl. Candi Simping, Sumberjati, Kademangan, Blitar, Jawa Timur 66161;"Candi ini terdapat di desa Sumberjati Kecamatan kademangan. Ketika berkunjung kesana, saya mendapati bahwa candi ini sudah tidak berbentuk candi atau dengan kata lain bayak bagian yang tidak berada pada tempat yang semestinya. Dikutip dari<span class=""skimlinks-unlinked"">vivanews.com</span>,<em>candi ini merupakan perabuan raja Majapahit, yaitu Raden Wijaya. Di situs yang berdiri di areal 40 x 40 meter persegi ini tampak ratusan bahkan ribuan susunan batuan jenis andesit dan batu bata merah yang tidak tertata layaknya bangunan candi, hampir semua rata dengan tanah. Hanya beberapa bongkahan batu besar yang tersusun membentuk bangunan bagian dari candi.</em>";candi;IMG_1506047675072.jpg;candi;Candi simping;4.4
38;-8,1947597;112,2437927;;Point;Bacem, Sutojayan, Blitar, Jawa Timur 66172;Candi Bacem terletak di dusun Cungkup, desa Bacem, kecamatan Sutojayan, kabupaten Blitar, Jawa Timur. Candi yang terbuat dari batu bata ini terdiri dari dua buah candi, yaitu candi Bacem I yang mempunyai ukuran tinggi 109 cm, panjang 310 cm, lebar 300 cm, dan Candi Bacem II yang berukuran tinggi 110 cm, panjang 540 cm dan lebarnya 500 cm. Bentuk dari kedua candi ini tidak beraturan karena susunan batu batanya sudah tidak menunjukkan profil yang jelas, dan hanya tinggal susunan batu bata pada pondasinya saja, sedangkan bagian tubuh dan atap candi sudah tidak ditemukan lagi.;candi;IMG_1506047859295.jpg;candi;Candi Bacem;4.4
39;-8,074516;112,339754;;Point;Plumbangan, Doko, Blitar, Jawa Timur 66186;Candi Plumbangan adalah sebuah candi yang terletak di desa Plumbangan, kecamatan Doko, kabupaten Blitar, Jawa Timur. Bentuk bangunan candi ini berupa pintu gerbang paduraksa dengan puncak berbentuk kubus. Pintu gerbang ini terbuat dari batu andesit, dengan ukuran panjang 4.09 m, lebar 2,27 m dan tingginya 5,6 m.;candi;IMG_1506048040296.jpg;candi;Candi Plumbangan;4.3
40;-8,0113243;112,1427519;;Point;Candirejo, Ponggok, Blitar, Jawa Timur 66153;Candi Sumbernanas merupakan sebuah candi yang terletak di desa Candirejo, kecamatan Ponggok, kabupaten Blitar. Dalam laporan pada abad ke-19 M, candi ini disebut dengan nama Candi Genengan atau Candi Puton. Candi ini menghadap ke arah barat, sedangkan bilik candinya dalam keadaan kosong, dan di atas pintu masuk bilik candi tersebut dipahatkan angka 1271 Saka (1349 M).;candi;IMG_1506048216512.jpg;candi;Candi Sumbernanas;4.2
41;-8,0027266;112,2817346;;Point;Gadungan, Gandusari, Blitar, Jawa Timur 66187;Candi Wringin Branjang terletak di desa Gadungan, kecamatan Gandusari, kabupaten Blitar, Jawa Timur. Candi ini letaknya masih satu kompleks dengan situs Gadungan, jaraknya sekitar 100 m di sebelah barat situs Gadungan I. Candi yang terbuat dari batu andesit ini memiliki bentuk yang sangat sederhana.;candi;IMG_1506048403532.jpg;candi;Candi Wringin Branjang;4.5
42;-8,0882231;112,4007311;;Point;Tepas, Kesamben, Blitar, Jawa Timur 66191;Candi Tepas terletak di Tepas, Kesamben, Blitar, Jawa Timur. Secara keseluruhan struktur bangunan candi ini telah rusak. Struktur bangunan yang tertinggal saat ini adalah bagian pondasi, kaki candi yang mempunyai ukuran panjang 11,25 m, lebar 7,75 m dan tangga naik yang menghadap ke barat.;candi;IMG_1506048518960.jpg;candi;Candi Tepas;4.2
